title,type,release_year,runtime,genres,seasons,imdb_score,imdb_votes
Puffin Rock,SHOW,2015,11,['animation'; 'family'; 'comedy'; 'european'],2,8.7,891
Chef's Table: France,SHOW,2016,60,['documentation'],1,8.2,1723
Veteran,MOVIE,2015,124,['crime'; 'thriller'; 'action'; 'comedy'],0,7,6501
A Very Murray Christmas,MOVIE,2015,56,['comedy'; 'music'],0,5.5,15428
The Method,SHOW,2015,51,['drama'; 'thriller'; 'crime'],2,7.4,2784
Skylanders Academy,SHOW,2016,23,['action'; 'animation'; 'comedy'; 'family'; 'fantasy'],3,6.7,730
Kevin Hart: What Now?,MOVIE,2016,96,['comedy'; 'documentation'],0,5.9,9458
Extraction,MOVIE,2015,92,['thriller'; 'action'],0,4.1,11180
Tramps,MOVIE,2016,83,['romance'; 'comedy'; 'documentation'; 'european'],0,6.5,5460
The Warriors Gate,MOVIE,2016,108,['action'; 'comedy'; 'family'; 'fantasy'; 'european'],0,5.4,5057
The Dreamseller,MOVIE,2016,96,['drama'],0,6,1438
LEGO Marvel Super Heroes: Avengers Reassembled!,MOVIE,2015,22,['animation'; 'comedy'; 'scifi'; 'action'],0,6.1,843
Incarnate,MOVIE,2016,91,['horror'; 'thriller'],0,5.2,12918
Güeros,MOVIE,2015,106,['drama'; 'comedy'],0,7.4,4120
Term Life,MOVIE,2016,93,['thriller'; 'action'; 'crime'; 'drama'],0,5.6,7860
The Distinguished Citizen,MOVIE,2016,118,['comedy'; 'drama'; 'european'],0,7.5,11495
Drishyam,MOVIE,2015,163,['thriller'; 'crime'; 'drama'],0,8.2,79075
Tig,MOVIE,2015,95,['documentation'],0,7.4,2649
John Mulaney: The Comeback Kid,MOVIE,2015,62,['comedy'; 'documentation'],0,7.9,8471
Kathleen Madigan: Bothering Jesus,MOVIE,2016,71,['comedy'],0,0,0
Rocco,MOVIE,2016,105,['documentation'; 'european'],0,5.7,3972
Minimalism: A Documentary About the Important Things,MOVIE,2015,79,['documentation'],0,6.7,15656
Lego Bionicle: The Journey to One,SHOW,2016,17,['animation'; 'action'; 'fantasy'; 'scifi'],2,5.5,170
The Mr. Peabody & Sherman Show,SHOW,2015,23,['comedy'; 'scifi'; 'animation'; 'family'; 'history'],4,5.7,433
Fate/Grand Order: First Order,MOVIE,2016,72,['fantasy'; 'animation'],0,5.7,865
Inspector Gadget,SHOW,2015,21,['action'; 'comedy'; 'family'; 'scifi'; 'animation'],4,4.5,614
Lavender,MOVIE,2016,92,['thriller'; 'drama'],0,5.3,7005
Heidi,SHOW,2015,27,['drama'; 'family'; 'animation'; 'european'],2,7.2,234
True Memoirs of an International Assassin,MOVIE,2016,98,['action'; 'comedy'; 'crime'],0,5.9,22466
Danger Mouse,SHOW,2015,12,['comedy'; 'crime'; 'family'; 'fantasy'; 'scifi'; 'animation'; 'action'; 'european'],2,7.2,579
The Darkness,MOVIE,2016,92,['thriller'; 'horror'],0,4.5,15848
Hot Girls Wanted,MOVIE,2015,84,['documentation'],0,6.1,17447
Haters Back Off,SHOW,2016,30,['comedy'; 'drama'; 'family'; 'romance'],2,6.1,7183
Intersection,SHOW,2016,97,['drama'],2,6.7,1152
Terrace House: Boys & Girls in the City,SHOW,2015,29,['reality'; 'drama'],1,8.1,1624
High & Low The Movie,MOVIE,2016,129,['action'],0,6.6,563
The K2,SHOW,2016,65,['war'; 'drama'; 'romance'; 'thriller'],1,7.9,5615
Dinotrux,SHOW,2015,23,['action'; 'comedy'; 'family'; 'animation'],5,6.8,458
Dawn of the Croods,SHOW,2015,23,['comedy'; 'family'; 'animation'],4,5.8,712
Anthony Jeselnik: Thoughts and Prayers,MOVIE,2015,59,['comedy'],0,0,0
Kong: King of the Apes,SHOW,2016,21,['animation'; 'scifi'; 'action'; 'comedy'; 'family'],2,5.9,325
Pandora,MOVIE,2016,136,['drama'; 'action'; 'thriller'],0,6.6,7304
Ok Kanmani,MOVIE,2015,139,['drama'; 'romance'],0,7.5,5722
Bella and the Bulldogs,SHOW,2015,23,['comedy'; 'family'; 'sport'],2,5,2114
Unnatural Selection,SHOW,2015,35,['reality'; 'documentation'; 'comedy'],1,8.1,12
The Lighthouse of the Orcas,MOVIE,2016,110,['drama'; 'romance'; 'european'],0,6.8,3844
Sin senos sí hay paraíso,SHOW,2016,47,['action'; 'drama'; 'romance'; 'crime'],4,6.5,546
Cooked,SHOW,2016,53,['documentation'],1,7.6,43
Shaun the Sheep: The Farmer's Llamas,MOVIE,2015,30,['comedy'; 'animation'; 'family'],0,6.8,1364
The Devil's Mistress,MOVIE,2016,111,['romance'; 'drama'; 'history'; 'european'],0,5.8,2325
Opening Night,MOVIE,2016,90,['comedy'; 'thriller'; 'drama'; 'action'; 'crime'],0,6,2610
LEGO Jurassic World: The Indominus Escape,MOVIE,2016,24,['family'; 'animation'; 'comedy'],0,0,0
Mossad 101,SHOW,2015,42,['action'; 'drama'],2,6.8,632
Secrets of Great British Castles,SHOW,2015,51,['documentation'; 'history'; 'european'],2,7.8,1031
Netflix Presents: The Characters,SHOW,2016,31,['comedy'],1,5.3,835
Project Mc²,SHOW,2015,24,['family'],6,6.1,985
Kapoor & Sons,MOVIE,2016,132,['romance'; 'comedy'; 'drama'; 'family'],0,7.7,25792
El Chema,SHOW,2016,44,['drama'; 'action'; 'crime'],1,6.9,303
Tokyo Trial,SHOW,2016,49,['drama'; 'history'],1,7.4,1544
Love O2O,SHOW,2016,45,['drama'; 'romance'],1,8,2322
Baaghi,MOVIE,2016,133,['thriller'; 'action'; 'romance'],0,5.3,8826
Good Morning Call,SHOW,2016,48,['comedy'; 'drama'; 'romance'],2,7.7,3088
Mercy,MOVIE,2016,82,['thriller'; 'drama'],0,4.1,3402
Our Lovers,MOVIE,2016,88,['comedy'; 'drama'; 'romance'; 'european'],0,6.7,4140
Inside the World's Toughest Prisons,SHOW,2016,48,['crime'; 'documentation'],5,7.1,2747
Septembers of Shiraz,MOVIE,2015,110,['drama'; 'thriller'; 'western'],0,7.9,38
Ordinary World,MOVIE,2016,86,['drama'; 'family'; 'comedy'; 'music'],0,5.5,3034
Beat Bugs,SHOW,2016,15,['animation'; 'family'; 'fantasy'; 'comedy'],3,7.6,522
Dhanak,MOVIE,2015,106,['drama'; 'comedy'],0,7.9,3893
The Visit,MOVIE,2015,130,['comedy'; 'romance'; 'thriller'],0,0,0
Jeff Foxworthy & Larry the Cable Guy: We've Been Thinking,MOVIE,2016,74,['comedy'],0,5.6,614
Captive,SHOW,2016,63,['documentation'; 'drama'; 'european'],1,6.8,724
Demetri Martin: Live (At The Time),MOVIE,2015,61,['comedy'; 'documentation'],0,7.4,2163
Brothers,MOVIE,2015,156,['drama'; 'action'; 'sport'],0,6.4,12886
Another Miss Oh,SHOW,2016,69,['drama'; 'fantasy'; 'romance'; 'comedy'],1,7.9,1769
Rebirth,MOVIE,2016,101,['thriller'],0,4.9,5156
Audrie & Daisy,MOVIE,2016,95,['documentation'; 'crime'],0,7.2,6586
T@gged,SHOW,2016,22,['drama'; 'thriller'; 'reality'],3,7.3,2012
Riot,MOVIE,2015,87,['action'],0,5.1,3332
